Question_Number,Original_Column
Q1,Q1. Body Size (शरीर का आकार)
Q2,Q2. Body Weight (शरीर का वज़न)
Q3,Q3. Height (लंबाई)
Q4,Q4. Bone Structure (हड्डियों की बनावट)
Q5,Q5. Complexion (त्वचा का रंग)
Q6,Q6. General Features (सामान्य विशेषताएँ)
Q7,Q7. Skin Texture (त्वचा की बनावट)
Q8,Q8. Hair Color (बालों का रंग)
Q9,Q9. Overall Appearance (संपूर्ण रूप)
Q10,Q10. Eyes Shape (आंखों का आकार)
Q11,Q11. Eyelashes (पलकों के बाल)
Q12,Q12. Blinking (आंख झपकना)
Q13,Q13. Cheeks (गाल)
Q14,Q14. Nose (नाक)
Q15,Q15. Teeth & Lips (दांत और होंठ)
Q16,Q16. Nails (नाखून)
Q17,Q17. Appetite (भूख)
Q18,Q18. Liking of Taste (पसंदीदा स्वाद)
Q19,Q19. Sleep (नींद)
Q20,Q20. Energy/Stamina (ऊर्जा/सहनशक्ति)
Q21,Q21. Sweating (पसीना)
Q22,Q22. Bowel Habits (मल त्याग)
Q23,Q23. Thirst (प्यास)
Q24,Q24. Mind/Temperament (मन/स्वभाव)
